"#","source","filename","r2_key","r2_public_url","status","size_kb"
"62","colors/2c047f77-53b4-4cdd-82ce-1649c091f834/Noir et gold  img1","1780454294584_1rcmw9.jpg","nyvarastore/products/1780454294584_1rcmw9.jpg","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780454294584_1rcmw9.jpg","copied","53.2"
"63","colors/2c047f77-53b4-4cdd-82ce-1649c091f834/Noir et gold  img2","1780454301218_1yxclk.jpg","nyvarastore/products/1780454301218_1yxclk.jpg","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780454301218_1yxclk.jpg","copied","81.8"
"64","colors/2c047f77-53b4-4cdd-82ce-1649c091f834/Écaille Foncée & Or Poli img1","1780454324355_j7vymyl.jpg","nyvarastore/products/1780454324355_j7vymyl.jpg","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780454324355_j7vymyl.jpg","copied","48.2"
"65","colors/2c047f77-53b4-4cdd-82ce-1649c091f834/Écaille Foncée & Or Poli img2","1780454328980_kpbahr.jpg","nyvarastore/products/1780454328980_kpbahr.jpg","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780454328980_kpbahr.jpg","copied","106.5"
"66","colors/2c047f77-53b4-4cdd-82ce-1649c091f834/Gris img1","1780454490862_s93ktf.jpg","nyvarastore/products/1780454490862_s93ktf.jpg","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780454490862_s93ktf.jpg","copied","73.4"
"67","colors/2c047f77-53b4-4cdd-82ce-1649c091f834/Gris img2","1780454494074_hcrahf.jpg","nyvarastore/products/1780454494074_hcrahf.jpg","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780454494074_hcrahf.jpg","copied","108.6"
"68","colors/90968909-f06e-4bac-b725-a70ae494fbd3/Gris img1","1780692378561_joc9id.JPG","nyvarastore/products/1780692378561_joc9id.JPG","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780692378561_joc9id.JPG","copied","1871.7"
"69","colors/90968909-f06e-4bac-b725-a70ae494fbd3/Vert img1","1780692467315_t6yvw.JPG","nyvarastore/products/1780692467315_t6yvw.JPG","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780692467315_t6yvw.JPG","copied","1820.7"
"70","colors/e9375f8d-333d-42cf-8512-3afa0ef41dd4/ img1","1780684277713_92z2cw.JPG","nyvarastore/products/1780684277713_92z2cw.JPG","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780684277713_92z2cw.JPG","copied","1977.9"
"71","colors/e9375f8d-333d-42cf-8512-3afa0ef41dd4/ img2","1780684285171_gssm3h.JPG","nyvarastore/products/1780684285171_gssm3h.JPG","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780684285171_gssm3h.JPG","copied","2001.5"
